Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
109,2525,258.530,0.475,77.318,5.194
110,2117,208.961,0.609,64.885,28.540
111,492,109.078,0.520,41.000,167.320
112,1075,131.411,0.782,45.177,174.920
113,249,72.457,0.596,30.414,99.462
114,276,72.227,0.665,27.019,38.991
115,3367,275.634,0.557,84.534,152.526
116,1194,170.809,0.514,55.973,108.759
117,746,115.322,0.705,41.231,67.166
118,142,50.124,0.710,21.954,59.931
119,321,69.450,0.836,27.295,151.557
120,2279,201.607,0.705,68.007,36.027
121,430,83.048,0.783,29.411,72.181
122,2975,263.567,0.538,106.042,91.621
123,1476,154.950,0.773,50.448,103.761
124,648,110.189,0.671,45.607,127.875
125,459,88.181,0.742,31.890,131.186
126,362,79.256,0.724,29.698,135.000
127,31,47.577,0.172,28.178,27.474
128,505,88.966,0.802,31.780,155.854
129,1349,195.688,0.443,81.394,95.641
130,312,94.004,0.444,39.000,112.620
131,223,58.494,0.819,23.087,72.350
132,1068,142.787,0.658,49.254,174.174
133,220,64.872,0.657,28.653,119.249
134,118,39.628,0.944,14.866,109.654
135,766,105.611,0.863,36.346,172.093
136,1324,176.267,0.535,68.264,174.958
137,355,79.811,0.700,31.048,165.069
138,241,66.213,0.691,26.420,60.524
139,4061,296.166,0.582,94.366,49.728
140,988,167.897,0.440,70.831,149.452
141,616,96.226,0.836,36.497,9.462
142,798,129.150,0.601,46.819,109.983
143,299,64.412,0.906,24.042,163.072
144,244,61.175,0.819,21.095,148.570
145,242,61.175,0.813,24.515,101.768
146,559,93.679,0.800,36.401,37.185
147,885,127.158,0.688,44.385,157.479
148,658,126.278,0.519,51.352,96.710
149,359,97.471,0.475,36.620,124.992
150,479,111.069,0.488,50.160,85.426
151,440,88.871,0.700,35.735,107.928
152,42,48.918,0.221,21.024,25.346
153,681,119.114,0.603,50.695,112.011
